#no |       id                |typ| coord1                    |MagU |MagB |MagV    |MagR |MagI |  spectype   |bib|not
157|* bet Aur                |Al*|089.88217887 +44.94743257  | 1.97 | 1.93 | 1.90 | 1.82 | 1.83 |A1IV-Vp        | 380|   0
159|* gam Cyg                |V* |305.55709098 +40.25667916  | 3.44 | 2.90 | 2.23 | 1.74 | 1.40 |F8Ib           | 517|   0
160|* alf PsA                |** |344.41269272 -29.62223703  | 1.31 | 1.25 | 1.16 | 1.11 | 1.09 |A4V            | 937|   2
171|* eta Boo                |SB*|208.67116217 +18.39772072  | 3.440| 3.250| 2.680| 2.24 | 1.95 |G0IV           | 606|   1
172|* gam Cas                |Be*|014.1772154 +60.7167403    | 1.18 | 2.29 | 2.39 | 2.32 | 2.40 |B0.5IVpe       |1065|   2
173|* bet UMa                |V* |165.46031890 +56.38242609  | 2.35 | 2.35 | 2.37 | 2.31 | 2.35 |A1IVps         | 368|   1
180|* eta CMa                |s*b|111.02375950 -29.30310551  | 1.65 | 2.37 | 2.45 | 2.38 | 2.44 |B5Ia           | 341|   0
181|* alf And                |a2*|002.09691619 +29.09043112  | 1.48 | 1.95 | 2.06 | 2.09 | 2.19 |B8IV-VHgMn     | 418|   0
185|* zet Her                |SB*|250.32150433 +31.60271870  | 3.640| 3.430| 2.800| 2.31 | 1.99 |G0IV           | 495|   1
187|* gam Peg                |bC*|003.30896346 +15.18359354  | 1.75 | 2.61 | 2.84 | 2.94 | 3.13 |B2IV           | 632|   0
193|* alf Lyr                |dS*|279.23473479 +38.78368896  | 0.03 | 0.03 | 0.03 | 0.07 | 0.10 |A0Va           |2260|   0
196|* del Cyg                |*  |296.24366059 +45.13081002  | 2.75 | 2.85 | 2.87 | 2.88 | 2.90 |B9.5IV+...     | 256|   1
197|* bet CMa                |bC*|095.67493897 -17.95591871  | 0.77 | 1.73 | 1.97 | 2.11 | 2.35 |B1II-III       | 646|   0
198|* alf Lep                |V* |083.18256716 -17.82228927  | 3.02 | 2.77 | 2.57 | 2.35 | 2.14 |F0Ib           | 257|   0
201|* iot UMa                |** |134.80189007 +48.04182614  | 3.40 | 3.33 | 3.14 | 2.92 | 2.85 |A7V(n)+M1V     | 261|   0
202|* zet Oph                |Be*|249.28974606 -10.56709152  | 1.73 | 2.58 | 2.56 | 2.46 | 2.50 |O9.2IVnn       |1604|   2
206|* bet01 Sco              |SB*|241.35929993 -19.80545278  | 1.68 | 2.55 | 2.62 | 2.60 | 2.69 |B1V            | 501|   1
209|* tau Sco                |*  |248.97063689 -28.21601709  | 1.55 | 2.56 | 2.81 | 2.93 | 3.18 |B0.2V          | 796|   0
210|* eps Ori                |s*b|084.05338894 -01.20191914  | 0.48 | 1.51 | 1.69 | 1.76 | 1.93 |B0Ia           | 822|   0
211|* alf Gem                |** |113.64947164 +31.88828222  | 1.63 | 1.62 | 1.58 | 1.51 | 1.52 |A1V+A2Vm       | 210|   0


